id,FPR,ROC,line
1,0.0,0.8486230166,1.0
2,2.78979e-05,0.8488053985,0.9999721021
3,2.78979e-05,0.849717308,0.9999721021
4,2.78979e-05,0.8500820719,0.9999721021
5,2.78979e-05,0.8504468357,0.9999721021
6,5.57958e-05,0.8508115995,0.9999442042
7,5.57958e-05,0.8511763633,0.9999442042
8,5.57958e-05,0.8513587452,0.9999442042
9,5.57958e-05,0.851723509,0.9999442042
10,5.57958e-05,0.8519058909,0.9999442042
11,5.57958e-05,0.8522706548,0.9999442042
12,5.57958e-05,0.8535473281,0.9999442042
13,5.57958e-05,0.8540944738,0.9999442042
14,5.57958e-05,0.8546416196,0.9999442042
15,5.57958e-05,0.8550063834,0.9999442042
16,5.57958e-05,0.8550063834,0.9999442042
17,5.57958e-05,0.8555535291,0.9999442042
18,5.57958e-05,0.855735911,0.9999442042
19,5.57958e-05,0.8559182929,0.9999442042
20,5.57958e-05,0.8564654386,0.9999442042
21,5.57958e-05,0.8568302024,0.9999442042
22,5.57958e-05,0.8571949663,0.9999442042
23,5.57958e-05,0.8581068758,0.9999442042
24,5.57958e-05,0.8584716396,0.9999442042
25,5.57958e-05,0.8588364034,0.9999442042
26,5.57958e-05,0.8590187853,0.9999442042
27,5.57958e-05,0.859748313,0.9999442042
28,5.57958e-05,0.8602954587,0.9999442042
29,5.57958e-05,0.8604778406,0.9999442042
30,5.57958e-05,0.8606602225,0.9999442042
31,5.57958e-05,0.8608426044,0.9999442042
32,5.57958e-05,0.861572132,0.9999442042
33,8.36937e-05,0.8624840416,0.9999163063
34,8.36937e-05,0.8630311873,0.9999163063
35,0.0001115916,0.8633959511,0.9998884084
36,0.0001115916,0.8644902426,0.9998884084
37,0.0001115916,0.8646726245,0.9998884084
38,0.0001115916,0.8646726245,0.9998884084
39,0.0001115916,0.8648550064,0.9998884084
40,0.0001115916,0.8652197702,0.9998884084
41,0.0001115916,0.8652197702,0.9998884084
42,0.0001115916,0.8659492978,0.9998884084
43,0.0001115916,0.8661316797,0.9998884084
44,0.0001115916,0.8664964436,0.9998884084
45,0.0001115916,0.8668612074,0.9998884084
46,0.0001115916,0.8670435893,0.9998884084
47,0.0001115916,0.8674083531,0.9998884084
48,0.0001115916,0.8679554988,0.9998884084
49,0.0001115916,0.8681378807,0.9998884084
50,0.0001115916,0.8688674084,0.9998884084
51,0.0001115916,0.869596936,0.9998884084
52,0.0001115916,0.8699616998,0.9998884084
53,0.0001115916,0.8703264636,0.9998884084
54,0.0001115916,0.8710559912,0.9998884084
55,0.0001115916,0.8714207551,0.9998884084
56,0.0001115916,0.8717855189,0.9998884084
57,0.0001115916,0.8717855189,0.9998884084
58,0.0001115916,0.8719679008,0.9998884084
59,0.0001115916,0.8725150465,0.9998884084
60,0.0001115916,0.8726974284,0.9998884084
61,0.0001115916,0.8728798103,0.9998884084
62,0.0001115916,0.873609338,0.9998884084
63,0.0001115916,0.873609338,0.9998884084
64,0.0001115916,0.8741564837,0.9998884084
65,0.0001115916,0.8745212475,0.9998884084
66,0.0001115916,0.8745212475,0.9998884084
67,0.0001115916,0.8747036294,0.9998884084
68,0.0001115916,0.8748860113,0.9998884084
69,0.0001115916,0.8750683932,0.9998884084
70,0.0001115916,0.8752507751,0.9998884084
71,0.0001115916,0.8756155389,0.9998884084
72,0.0001394895,0.8757979208,0.9998605105
73,0.0001394895,0.8759803028,0.9998605105
74,0.0001394895,0.8761626847,0.9998605105
75,0.0001394895,0.8765274485,0.9998605105
76,0.0001394895,0.8767098304,0.9998605105
77,0.0001394895,0.8768922123,0.9998605105
78,0.0001394895,0.8768922123,0.9998605105
79,0.0001394895,0.877439358,0.9998605105
80,0.0001394895,0.8776217399,0.9998605105
81,0.0001394895,0.8778041218,0.9998605105
82,0.0001394895,0.8781688856,0.9998605105
83,0.0001394895,0.8781688856,0.9998605105
84,0.0001394895,0.8781688856,0.9998605105
85,0.0001394895,0.8785336495,0.9998605105
86,0.0001673874,0.8792631771,0.9998326126
87,0.0001673874,0.8796279409,0.9998326126
88,0.0001673874,0.8798103228,0.9998326126
89,0.0001673874,0.8798103228,0.9998326126
90,0.0001673874,0.8803574685,0.9998326126
91,0.0001673874,0.8807222324,0.9998326126
92,0.0001952853,0.8810869962,0.9998047147
93,0.0001952853,0.8816341419,0.9998047147
94,0.0001952853,0.8821812876,0.9998047147
95,0.0001952853,0.8823636695,0.9998047147
96,0.0002231831,0.8823636695,0.9997768169
97,0.0002231831,0.8827284333,0.9997768169
98,0.0002231831,0.8829108152,0.9997768169
99,0.0002231831,0.8832755791,0.9997768169
100,0.0002231831,0.883457961,0.9997768169
101,0.0002231831,0.8843698705,0.9997768169
102,0.0002231831,0.8845522524,0.9997768169
103,0.0002231831,0.885464162,0.9997768169
104,0.0002231831,0.8856465439,0.9997768169
105,0.0002231831,0.8861936896,0.9997768169
106,0.0002231831,0.8871055991,0.9997768169
107,0.0002231831,0.887287981,0.9997768169
108,0.0002231831,0.887287981,0.9997768169
109,0.0002231831,0.8876527448,0.9997768169
110,0.0002231831,0.8878351268,0.9997768169
111,0.0002231831,0.8881998906,0.9997768169
112,0.0002231831,0.8881998906,0.9997768169
113,0.0002231831,0.8883822725,0.9997768169
114,0.0002231831,0.8889294182,0.9997768169
115,0.0002231831,0.8889294182,0.9997768169
116,0.0002231831,0.8894765639,0.9997768169
117,0.0002231831,0.8900237096,0.9997768169
118,0.0002231831,0.8903884735,0.9997768169
119,0.0002231831,0.8909356192,0.9997768169
120,0.0002231831,0.8914827649,0.9997768169
121,0.0002231831,0.8923946744,0.9997768169
122,0.0002231831,0.8923946744,0.9997768169
123,0.0002231831,0.8929418202,0.9997768169
124,0.000251081,0.8931242021,0.999748919
125,0.000251081,0.8938537297,0.999748919
126,0.000251081,0.8945832573,0.999748919
127,0.000251081,0.8951304031,0.999748919
128,0.000251081,0.8960423126,0.999748919
129,0.000251081,0.8960423126,0.999748919
130,0.000251081,0.8965894583,0.999748919
131,0.000251081,0.897318986,0.999748919
132,0.0002789789,0.8976837498,0.9997210211
133,0.0002789789,0.8980485136,0.9997210211
134,0.0002789789,0.8980485136,0.9997210211
135,0.0002789789,0.8980485136,0.9997210211
136,0.0002789789,0.8980485136,0.9997210211
137,0.0002789789,0.8982308955,0.9997210211
138,0.0002789789,0.8982308955,0.9997210211
139,0.0002789789,0.8982308955,0.9997210211
140,0.0002789789,0.8984132774,0.9997210211
141,0.0002789789,0.8985956593,0.9997210211
142,0.0002789789,0.8989604231,0.9997210211
143,0.0002789789,0.8998723327,0.9997210211
144,0.0003068768,0.9000547146,0.9996931232
145,0.0003068768,0.9006018603,0.9996931232
146,0.0003068768,0.9009666241,0.9996931232
147,0.0003068768,0.901149006,0.9996931232
148,0.0003068768,0.9013313879,0.9996931232
149,0.0003347747,0.9015137698,0.9996652253
150,0.0003347747,0.9018785336,0.9996652253
151,0.0003347747,0.9018785336,0.9996652253
152,0.0003347747,0.9024256794,0.9996652253
153,0.0003347747,0.9027904432,0.9996652253
154,0.0003347747,0.9029728251,0.9996652253
155,0.0003347747,0.9035199708,0.9996652253
156,0.0003626726,0.9038847346,0.9996373274
157,0.0003626726,0.9040671165,0.9996373274
158,0.0003626726,0.9044318804,0.9996373274
159,0.0003626726,0.9046142623,0.9996373274
160,0.0003626726,0.9053437899,0.9996373274
161,0.0003626726,0.9058909356,0.9996373274
162,0.0003626726,0.9062556994,0.9996373274
163,0.0003626726,0.9068028452,0.9996373274
164,0.0003626726,0.9068028452,0.9996373274
165,0.0003626726,0.9073499909,0.9996373274
166,0.0003626726,0.9077147547,0.9996373274
167,0.0003626726,0.9080795185,0.9996373274
168,0.0003626726,0.9080795185,0.9996373274
169,0.0003626726,0.9086266642,0.9996373274
170,0.0003626726,0.9088090461,0.9996373274
171,0.0003626726,0.9089914281,0.9996373274
172,0.0003626726,0.90917381,0.9996373274
173,0.0003626726,0.9093561919,0.9996373274
174,0.0003626726,0.9095385738,0.9996373274
175,0.0003626726,0.9095385738,0.9996373274
176,0.0003626726,0.9097209557,0.9996373274
177,0.0003626726,0.9097209557,0.9996373274
178,0.0003626726,0.9100857195,0.9996373274
179,0.0003905705,0.9104504833,0.9996094295
180,0.0004184684,0.9104504833,0.9995815316
181,0.0004184684,0.9104504833,0.9995815316
182,0.0004184684,0.9104504833,0.9995815316
183,0.0004184684,0.9111800109,0.9995815316
184,0.0004184684,0.9113623929,0.9995815316
185,0.0004184684,0.9115447748,0.9995815316
186,0.0004184684,0.9119095386,0.9995815316
187,0.0004184684,0.9119095386,0.9995815316
188,0.0004184684,0.9120919205,0.9995815316
189,0.0004463663,0.9122743024,0.9995536337
190,0.0004463663,0.9128214481,0.9995536337
191,0.0005021621,0.9131862119,0.9994978379
192,0.0005021621,0.9133685938,0.9994978379
193,0.0005021621,0.9137333577,0.9994978379
194,0.0005021621,0.9139157396,0.9994978379
195,0.0005021621,0.9140981215,0.9994978379
196,0.0005021621,0.9142805034,0.9994978379
197,0.0005021621,0.9144628853,0.9994978379
198,0.0005021621,0.9146452672,0.9994978379
199,0.00053006,0.9146452672,0.99946994
200,0.00053006,0.9146452672,0.99946994
201,0.00053006,0.9148276491,0.99946994
202,0.00053006,0.9151924129,0.99946994
203,0.00053006,0.9155571767,0.99946994
204,0.00053006,0.9157395586,0.99946994
205,0.00053006,0.9161043225,0.99946994
206,0.00053006,0.9162867044,0.99946994
207,0.00053006,0.9166514682,0.99946994
208,0.00053006,0.9168338501,0.99946994
209,0.00053006,0.9171986139,0.99946994
210,0.00053006,0.9173809958,0.99946994
211,0.00053006,0.9177457596,0.99946994
212,0.00053006,0.9179281415,0.99946994
213,0.00053006,0.9182929053,0.99946994
214,0.0005858558,0.9184752873,0.9994141442
215,0.0005858558,0.9186576692,0.9994141442
216,0.0006137537,0.9186576692,0.9993862463
217,0.0006137537,0.9188400511,0.9993862463
218,0.0006416516,0.919022433,0.9993583484
219,0.0006416516,0.9195695787,0.9993583484
220,0.0006416516,0.9197519606,0.9993583484
221,0.0006416516,0.9197519606,0.9993583484
222,0.0006416516,0.9199343425,0.9993583484
223,0.0006695494,0.9199343425,0.9993304506
224,0.0006695494,0.9202991063,0.9993304506
225,0.0006695494,0.9202991063,0.9993304506
226,0.0007253452,0.9202991063,0.9992746548
227,0.0007253452,0.9202991063,0.9992746548
228,0.0007532431,0.9204814882,0.9992467569
229,0.000781141,0.921028634,0.999218859
230,0.000781141,0.9212110159,0.999218859
231,0.000781141,0.9213933978,0.999218859
232,0.000781141,0.9217581616,0.999218859
233,0.0008090389,0.9219405435,0.9991909611
234,0.0008369368,0.9221229254,0.9991630632
235,0.0008369368,0.9224876892,0.9991630632
236,0.0008648347,0.922852453,0.9991351653
237,0.0008927326,0.922852453,0.9991072674
238,0.0009206305,0.9237643626,0.9990793695
239,0.0009206305,0.9239467445,0.9990793695
240,0.0009206305,0.9241291264,0.9990793695
241,0.0009485284,0.9241291264,0.9990514716
242,0.0009485284,0.9241291264,0.9990514716
243,0.0009485284,0.9244938902,0.9990514716
244,0.0009485284,0.9246762721,0.9990514716
245,0.0009485284,0.9250410359,0.9990514716
246,0.0009485284,0.9257705636,0.9990514716
247,0.0009485284,0.9259529455,0.9990514716
248,0.0009764263,0.9261353274,0.9990235737
249,0.0009764263,0.9261353274,0.9990235737
250,0.0010043242,0.926864855,0.9989956758
251,0.0010322221,0.9272296188,0.9989677779
252,0.0010322221,0.9275943826,0.9989677779
253,0.0010322221,0.9277767645,0.9989677779
254,0.00106012,0.9279591465,0.99893988
255,0.00106012,0.9285062922,0.99893988
256,0.00106012,0.9292358198,0.99893988
257,0.00106012,0.9294182017,0.99893988
258,0.0010880179,0.9299653474,0.9989119821
259,0.0010880179,0.9301477293,0.9989119821
260,0.0011159157,0.9303301113,0.9988840843
261,0.0011159157,0.9306948751,0.9988840843
262,0.0011159157,0.930877257,0.9988840843
263,0.0011159157,0.930877257,0.9988840843
264,0.0011159157,0.930877257,0.9988840843
265,0.0011159157,0.9310596389,0.9988840843
266,0.0011438136,0.9312420208,0.9988561864
267,0.0011438136,0.9316067846,0.9988561864
268,0.0011717115,0.9319715484,0.9988282885
269,0.0011717115,0.9321539303,0.9988282885
270,0.0011717115,0.9323363122,0.9988282885
271,0.0012275073,0.9325186941,0.9987724927
272,0.0012554052,0.932883458,0.9987445948
273,0.0012833031,0.9332482218,0.9987166969
274,0.0012833031,0.9339777494,0.9987166969
275,0.0012833031,0.9341601313,0.9987166969
276,0.001311201,0.9341601313,0.998688799
277,0.0013669968,0.9341601313,0.9986330032
278,0.0013669968,0.9343425132,0.9986330032
279,0.0013669968,0.9345248951,0.9986330032
280,0.0013669968,0.9348896589,0.9986330032
281,0.0013669968,0.9352544228,0.9986330032
282,0.0013669968,0.9354368047,0.9986330032
283,0.0013669968,0.9356191866,0.9986330032
284,0.0013669968,0.9359839504,0.9986330032
285,0.0013669968,0.9363487142,0.9986330032
286,0.0013669968,0.9365310961,0.9986330032
287,0.0013669968,0.9370782418,0.9986330032
288,0.0013669968,0.9372606237,0.9986330032
289,0.0013669968,0.9372606237,0.9986330032
290,0.0014227926,0.9372606237,0.9985772074
291,0.0014227926,0.9372606237,0.9985772074
292,0.0014785884,0.9372606237,0.9985214116
293,0.0015343842,0.9372606237,0.9984656158
294,0.001562282,0.9378077695,0.998437718
295,0.001562282,0.9379901514,0.998437718
296,0.001562282,0.9379901514,0.998437718
297,0.0015901799,0.9381725333,0.9984098201
298,0.0015901799,0.9383549152,0.9984098201
299,0.0015901799,0.9392668247,0.9984098201
300,0.0015901799,0.9394492066,0.9984098201
301,0.0015901799,0.9401787343,0.9984098201
302,0.0015901799,0.94072588,0.9984098201
303,0.0015901799,0.94072588,0.9984098201
304,0.0016180778,0.9409082619,0.9983819222
305,0.0016459757,0.9412730257,0.9983540243
306,0.0016738736,0.9414554076,0.9983261264
307,0.0017017715,0.9414554076,0.9982982285
308,0.0017575673,0.9416377895,0.9982424327
309,0.0017575673,0.9418201714,0.9982424327
310,0.0017575673,0.9420025533,0.9982424327
311,0.0017575673,0.9423673172,0.9982424327
312,0.0017854652,0.9425496991,0.9982145348
313,0.0017854652,0.9425496991,0.9982145348
314,0.001841261,0.9425496991,0.998158739
315,0.001841261,0.942732081,0.998158739
316,0.001841261,0.9429144629,0.998158739
317,0.001841261,0.9434616086,0.998158739
318,0.001841261,0.9436439905,0.998158739
319,0.001841261,0.9436439905,0.998158739
320,0.0018970568,0.9436439905,0.9981029432
321,0.0018970568,0.9443735181,0.9981029432
322,0.0018970568,0.9443735181,0.9981029432
323,0.0018970568,0.944738282,0.9981029432
324,0.0018970568,0.944738282,0.9981029432
325,0.0018970568,0.944738282,0.9981029432
326,0.0019249547,0.944738282,0.9980750453
327,0.0019249547,0.944738282,0.9980750453
328,0.0020086483,0.9452854277,0.9979913517
329,0.0020365462,0.9454678096,0.9979634538
330,0.0020644441,0.9456501915,0.9979355559
331,0.002092342,0.9456501915,0.997907658
332,0.0021202399,0.9460149553,0.9978797601
333,0.0021760357,0.9460149553,0.9978239643
334,0.0022318315,0.946562101,0.9977681685
335,0.0022876273,0.9467444829,0.9977123727
336,0.0022876273,0.9472916287,0.9977123727
337,0.0023155252,0.9472916287,0.9976844748
338,0.0023155252,0.9474740106,0.9976844748
339,0.0023155252,0.9476563925,0.9976844748
340,0.0023155252,0.9476563925,0.9976844748
341,0.0023434231,0.9482035382,0.9976565769
342,0.0023434231,0.9482035382,0.9976565769
343,0.0023434231,0.9483859201,0.9976565769
344,0.002371321,0.9487506839,0.997628679
345,0.0023992189,0.9491154477,0.9976007811
346,0.0024550146,0.9492978297,0.9975449854
347,0.0025108104,0.9494802116,0.9974891896
348,0.0025666062,0.9494802116,0.9974333938
349,0.0025666062,0.9496625935,0.9974333938
350,0.0026502999,0.9498449754,0.9973497001
351,0.0026502999,0.9498449754,0.9973497001
352,0.0026502999,0.9500273573,0.9973497001
353,0.0026781978,0.9502097392,0.9973218022
354,0.0026781978,0.9503921211,0.9973218022
355,0.0027060957,0.9503921211,0.9972939043
356,0.0027339936,0.9503921211,0.9972660064
357,0.0027618915,0.950574503,0.9972381085
358,0.0027618915,0.950574503,0.9972381085
359,0.0028176873,0.950574503,0.9971823127
360,0.0028455852,0.950574503,0.9971544148
361,0.0028455852,0.9507568849,0.9971544148
362,0.0028734831,0.9509392668,0.9971265169
363,0.0029013809,0.9509392668,0.9970986191
364,0.0029292788,0.9511216487,0.9970707212
365,0.0029292788,0.9511216487,0.9970707212
366,0.0029571767,0.9513040306,0.9970428233
367,0.0029571767,0.9513040306,0.9970428233
368,0.0030129725,0.9514864125,0.9969870275
369,0.0030129725,0.9518511764,0.9969870275
370,0.0030687683,0.9520335583,0.9969312317
371,0.0030687683,0.9522159402,0.9969312317
372,0.0030687683,0.9523983221,0.9969312317
373,0.0030966662,0.9523983221,0.9969033338
374,0.0030966662,0.952580704,0.9969033338
375,0.0031245641,0.952580704,0.9968754359
376,0.0031803599,0.952580704,0.9968196401
377,0.0032361557,0.952580704,0.9967638443
378,0.0032640536,0.952580704,0.9967359464
379,0.0032640536,0.952580704,0.9967359464
380,0.0032919515,0.9527630859,0.9967080485
381,0.0032919515,0.9527630859,0.9967080485
382,0.0033198494,0.9529454678,0.9966801506
383,0.0033756451,0.9534926135,0.9966243549
384,0.0034314409,0.9534926135,0.9965685591
385,0.0034593388,0.9536749954,0.9965406612
386,0.0034872367,0.9536749954,0.9965127633
387,0.0035151346,0.9536749954,0.9964848654
388,0.0035151346,0.9536749954,0.9964848654
389,0.0035430325,0.9538573773,0.9964569675
390,0.0035430325,0.9538573773,0.9964569675
391,0.0035430325,0.9538573773,0.9964569675
392,0.0035709304,0.9538573773,0.9964290696
393,0.0035709304,0.9544045231,0.9964290696
394,0.0035988283,0.9544045231,0.9964011717
395,0.0035988283,0.9544045231,0.9964011717
396,0.0036546241,0.9544045231,0.9963453759
397,0.003682522,0.954586905,0.996317478
398,0.0037104199,0.954586905,0.9962895801
399,0.0037383178,0.9547692869,0.9962616822
400,0.0037383178,0.9547692869,0.9962616822
401,0.0037383178,0.9554988145,0.9962616822
402,0.0037383178,0.9554988145,0.9962616822
403,0.0037941135,0.9556811964,0.9962058865
404,0.0037941135,0.9556811964,0.9962058865
405,0.0038220114,0.9558635783,0.9961779886
406,0.0038220114,0.9558635783,0.9961779886
407,0.0038499093,0.9558635783,0.9961500907
408,0.0038499093,0.9558635783,0.9961500907
409,0.0038778072,0.9558635783,0.9961221928
410,0.0039057051,0.9558635783,0.9960942949
411,0.0039615009,0.9560459602,0.9960384991
412,0.0039893988,0.9562283421,0.9960106012
413,0.0039893988,0.9564107241,0.9960106012
414,0.0040172967,0.956593106,0.9959827033
415,0.0040451946,0.956593106,0.9959548054
416,0.0041009904,0.9567754879,0.9958990096
417,0.0041009904,0.9569578698,0.9958990096
418,0.0041288883,0.9569578698,0.9958711117
419,0.0041567862,0.9571402517,0.9958432138
420,0.0041567862,0.9575050155,0.9958432138
421,0.0041567862,0.9576873974,0.9958432138
422,0.004212582,0.9576873974,0.995787418
423,0.004212582,0.9576873974,0.995787418
424,0.004212582,0.9576873974,0.995787418
425,0.004212582,0.9576873974,0.995787418
426,0.004212582,0.9578697793,0.995787418
427,0.0042962756,0.9578697793,0.9957037244
428,0.0043520714,0.9578697793,0.9956479286
429,0.0044078672,0.9578697793,0.9955921328
430,0.0044357651,0.9580521612,0.9955642349
431,0.004463663,0.9582345431,0.995536337
432,0.0044915609,0.958416925,0.9955084391
433,0.0044915609,0.958416925,0.9955084391
434,0.0044915609,0.958416925,0.9955084391
435,0.0044915609,0.9585993069,0.9955084391
436,0.0044915609,0.9587816889,0.9955084391
437,0.0045473567,0.9589640708,0.9954526433
438,0.0046031525,0.9591464527,0.9953968475
439,0.0046031525,0.9591464527,0.9953968475
440,0.0046031525,0.9591464527,0.9953968475
441,0.0046310504,0.9593288346,0.9953689496
442,0.0046310504,0.9593288346,0.9953689496
443,0.0046310504,0.9593288346,0.9953689496
444,0.0046868461,0.9595112165,0.9953131539
445,0.0047426419,0.9596935984,0.9952573581
446,0.0047426419,0.9596935984,0.9952573581
447,0.0047426419,0.9596935984,0.9952573581
448,0.0047705398,0.9596935984,0.9952294602
449,0.0047705398,0.9596935984,0.9952294602
450,0.0048263356,0.9596935984,0.9951736644
451,0.0048263356,0.9602407441,0.9951736644
452,0.0048542335,0.9602407441,0.9951457665
453,0.0048821314,0.9606055079,0.9951178686
454,0.0049100293,0.9606055079,0.9950899707
455,0.0049100293,0.9607878898,0.9950899707
456,0.0049658251,0.9611526537,0.9950341749
457,0.0049658251,0.9615174175,0.9950341749
458,0.0049658251,0.962429327,0.9950341749
459,0.0050495188,0.962429327,0.9949504812
460,0.0050495188,0.9629764727,0.9949504812
461,0.0051053145,0.9631588546,0.9948946855
462,0.0051332124,0.9631588546,0.9948667876
463,0.0051332124,0.9633412365,0.9948667876
464,0.0051611103,0.9635236185,0.9948388897
465,0.0051611103,0.9635236185,0.9948388897
466,0.0051890082,0.9638883823,0.9948109918
467,0.0051890082,0.9638883823,0.9948109918
468,0.0051890082,0.9638883823,0.9948109918
469,0.0051890082,0.9642531461,0.9948109918
470,0.0052169061,0.964435528,0.9947830939
471,0.0052169061,0.964435528,0.9947830939
472,0.0053005998,0.9646179099,0.9946994002
473,0.0053005998,0.9646179099,0.9946994002
474,0.0053284977,0.9646179099,0.9946715023
475,0.0053563956,0.9648002918,0.9946436044
476,0.0053563956,0.9651650556,0.9946436044
477,0.0053563956,0.9653474375,0.9946436044
478,0.0053842935,0.9653474375,0.9946157065
479,0.0054121914,0.9653474375,0.9945878086
480,0.0054400893,0.9655298194,0.9945599107
481,0.0054679872,0.9655298194,0.9945320128
482,0.0054679872,0.9658945833,0.9945320128
483,0.0054679872,0.9658945833,0.9945320128
484,0.0055795787,0.9658945833,0.9944204213
485,0.0056074766,0.9660769652,0.9943925234
486,0.0056074766,0.9660769652,0.9943925234
487,0.0056632724,0.9662593471,0.9943367276
488,0.0056911703,0.966441729,0.9943088297
489,0.0057469661,0.9668064928,0.9942530339
490,0.005774864,0.9668064928,0.994225136
491,0.005774864,0.9671712566,0.994225136
492,0.0058306598,0.9671712566,0.9941693402
493,0.0058306598,0.9671712566,0.9941693402
494,0.0058306598,0.9671712566,0.9941693402
495,0.0058585577,0.9673536385,0.9941414423
496,0.0059143535,0.9673536385,0.9940856465
497,0.0060538429,0.9675360204,0.9939461571
498,0.0060817408,0.9675360204,0.9939182592
499,0.0061375366,0.9679007842,0.9938624634
500,0.0062212303,0.9679007842,0.9937787697
501,0.0062491282,0.9680831661,0.9937508718
502,0.0062770261,0.96844793,0.9937229739
503,0.0062770261,0.96844793,0.9937229739
504,0.0062770261,0.96844793,0.9937229739
505,0.0062770261,0.96844793,0.9937229739
506,0.006304924,0.9686303119,0.993695076
507,0.0063328219,0.9689950757,0.9936671781
508,0.0063607198,0.9689950757,0.9936392802
509,0.0064723113,0.9689950757,0.9935276887
510,0.0065281071,0.9693598395,0.9934718929
511,0.0066118008,0.9695422214,0.9933881992
512,0.0066118008,0.9697246033,0.9933881992
513,0.0066675966,0.9699069852,0.9933324034
514,0.0067233924,0.9700893671,0.9932766076
515,0.0067512903,0.970271749,0.9932487097
516,0.0068070861,0.970454131,0.9931929139
517,0.0068907797,0.9708188948,0.9931092203
518,0.0069744734,0.9710012767,0.9930255266
519,0.0069744734,0.9711836586,0.9930255266
520,0.0069744734,0.9711836586,0.9930255266
521,0.0070023713,0.9711836586,0.9929976287
522,0.0071139629,0.9711836586,0.9928860371
523,0.0071139629,0.9713660405,0.9928860371
524,0.0071697587,0.9713660405,0.9928302413
525,0.0072534524,0.9715484224,0.9927465476
526,0.0073650439,0.9715484224,0.9926349561
527,0.0074487376,0.9717308043,0.9925512624
528,0.0075324313,0.9717308043,0.9924675687
529,0.0075324313,0.9717308043,0.9924675687
530,0.0075603292,0.9717308043,0.9924396708
531,0.0075882271,0.9717308043,0.9924117729
532,0.0075882271,0.9717308043,0.9924117729
533,0.0077277166,0.9717308043,0.9922722834
534,0.0077556145,0.9719131862,0.9922443855
535,0.0077835123,0.9720955681,0.9922164877
536,0.0078393081,0.97227795,0.9921606919
537,0.0079230018,0.9724603319,0.9920769982
538,0.0079230018,0.9724603319,0.9920769982
539,0.0079787976,0.9724603319,0.9920212024
540,0.0079787976,0.9726427138,0.9920212024
541,0.008146185,0.9728250958,0.991853815
542,0.0081740829,0.9728250958,0.9918259171
543,0.0083693681,0.9728250958,0.9916306319
544,0.0084251639,0.9730074777,0.9915748361
545,0.0084251639,0.9733722415,0.9915748361
546,0.0084251639,0.9733722415,0.9915748361
547,0.0084530618,0.9733722415,0.9915469382
548,0.0084809597,0.9737370053,0.9915190403
549,0.0085646534,0.9739193872,0.9914353466
550,0.0085925513,0.9744665329,0.9914074487
551,0.0087041428,0.9744665329,0.9912958572
552,0.0087041428,0.9744665329,0.9912958572
553,0.0087599386,0.9746489148,0.9912400614
554,0.0088994281,0.9748312967,0.9911005719
555,0.0089831218,0.9748312967,0.9910168782
556,0.0090110197,0.9750136786,0.9909889803
557,0.0090668155,0.9750136786,0.9909331845
558,0.0090668155,0.9750136786,0.9909331845
559,0.0090947133,0.9750136786,0.9909052867
560,0.0091505091,0.9753784425,0.9908494909
561,0.0092063049,0.9753784425,0.9907936951
562,0.0092621007,0.9753784425,0.9907378993
563,0.0093178965,0.9753784425,0.9906821035
564,0.0094294881,0.9757432063,0.9905705119
565,0.009457386,0.9757432063,0.990542614
566,0.0095131818,0.9759255882,0.9904868182
567,0.0095689775,0.9761079701,0.9904310225
568,0.0096805691,0.9761079701,0.9903194309
569,0.0097642628,0.9766551158,0.9902357372
570,0.0099037523,0.9766551158,0.9900962477
571,0.0099316502,0.9766551158,0.9900683498
572,0.0099595481,0.9766551158,0.9900404519
573,0.0100432417,0.9770198796,0.9899567583
574,0.0102106291,0.9772022615,0.9897893709
